,values
SLC2A10_meth,-0.00032741897
STC2_meth,-0.4181585
FOXF2_meth,8.666246e-09
MYF5_meth,0.0003948964
MMD2_meth,0.0047717686
GPR6_meth,6.057225e-09
DEFB124_meth,0.0065190466
VAV3_meth,0.16135721
TCF15_meth,-0.047633506
S1PR1_meth,0.0002369701
KCNA4_meth,-0.017047614
TNFRSF25_meth,-0.0031946679
NKX2-6_meth,8.0770557e-10
SEMA3D_meth,0.092657454
HOXB9_meth,0.00011084498
GPR101_meth,1.9193893e-09
USP17L2_meth,-0.1566201
HOXD11_meth,-6.598394e-05
APOC2_meth,0.07739407
HOXB5_meth,0.00020328464
SOX9_meth,-0.3311507
WT1_meth,0.32114685
EXPH5_meth,-7.3955903e-06
ATP6V0D2_meth,-0.0011189783
LHX2_meth,-1.0708656e-06
HOXD9_meth,-2.0568685e-05
NR5A2_meth,0.004996875
NAPRT_meth,7.666825e-05
CFC1B_meth,-1.1172952e-11
BARX1_meth,-2.1684683e-13
RIPK3_meth,-0.013617473
SMARCA1_meth,2.682119e-11
DRD5_meth,0.029829014
RAC2_meth,-0.03185265
PCDH17_meth,-0.0010928339
PTK6_meth,-0.1508239
TEK_meth,0.089419276
FGF10_meth,-0.20904988
LHX5_meth,-2.4040696e-09
NR2E1_meth,-0.052769296
TOMM40L_meth,0.0001624429
CMTM2_meth,-0.7465588
CACNG7_meth,0.0027778149
AGR2_meth,0.0026435915
ITGA4_meth,0.07392954
CKB_meth,0.00020736408
OPRK1_meth,0.09746636
ROBO3_meth,-0.0001042999
UGT2B7_meth,-0.07571788
ACSS3_meth,0.0030214754
RIMS2_meth,-0.0028621485
NPY1R_meth,-1.453844e-08
FAM126A_meth,5.1374166e-10
PHLDA2_meth,-0.013738447
CTSW_meth,-0.0059186313
BCAT1_meth,-0.042854268
TRIM72_meth,-0.0039548464
SLC12A5_meth,-0.00043727874
NOTO_meth,-4.572851e-05
PGLYRP2_meth,0.0034501748
CFD_meth,-0.011404212
POU4F1_meth,-0.021436162
ANPEP_meth,0.009352433
ALDH7A1_meth,-5.3889442e-05
GDPD3_meth,0.001301391
FFAR3_meth,-0.16428705
KCNA3_meth,-0.020641921
ZNF304_meth,0.00019093826
ROPN1_meth,-1.0089586e-10
DLL3_meth,2.2132667e-09
CASP8_meth,-0.047188554
CHRNA3_meth,0.064287454
PROX1_meth,-0.10524522
PRDM12_meth,-7.317734e-05
GJA4_meth,-2.8297581e-08
SPAG4_meth,3.4631098e-10
PIWIL4_meth,-0.100059554
SPP1_meth,0.39191255
AKR7L_meth,-0.043301977
SLC6A2_meth,0.25565988
GSC_meth,-0.03261716
RGS20_meth,0.0132487025
ALOX15B_meth,1.0124023
CRYGD_meth,0.05487122
TMPRSS2_meth,-0.006737537
TMC2_meth,-8.299543e-05
WNT2_meth,0.33897257
SH3GL3_meth,1.2372807e-07
NTRK2_meth,0.011011425
MIXL1_meth,-0.2770518
CAMKV_meth,0.02928923
UCN_meth,0.19436823
GAS1_meth,-0.00030877496
PCDH11X_meth,-2.4450864e-07
CD70_meth,0.03887967
ISL2_meth,-6.7660353e-06
MAL_meth,7.146078e-05
BVES_meth,0.054210607
SLC6A12_meth,-0.00023925549
KRT19_meth,-5.7330456e-09
LDOC1_meth,0.20961109
CD3G_meth,-4.4004786e-09
CYP2C18_meth,5.6290366e-05
AREG_meth,-0.06130234
HTR7_meth,-0.00049445394
HCRTR2_meth,0.016418267
GNPNAT1_meth,-5.0454335e-05
NRIP3_meth,0.04878691
PUS3_meth,5.95018e-06
HOXC4_meth,-0.000103725164
FOXO6_meth,-0.02326961
HOXD13_meth,0.040652983
SIAH3_meth,-0.0046961065
KCNN2_meth,-0.035745792
GSX1_meth,-1.01752295e-08
TMEM108_meth,0.00090296357
ADAMTS18_meth,0.017022198
SLX1B_meth,-1.0764146e-05
HBM_meth,-1.1969234e-10
ADCY8_meth,0.03347485
SLITRK4_meth,0.018924342
NPY2R_meth,0.047085743
DAW1_meth,2.3647952e-11
UNC5C_meth,0.054015048
KCNV1_meth,-0.019122602
PIM2_meth,0.041658424
TRPC6_meth,-0.00060486066
NNMT_meth,-0.083392106
ADAM23_meth,-0.010141948
LRRTM3_meth,1.3917792e-10
CLCF1_meth,-0.3347357
ANXA2_meth,0.012379306
TAF1L_meth,-0.011985711
OAS2_meth,0.0027670232
SLITRK3_meth,-3.3007638e-08
MTMR7_meth,-2.7058602e-06
RNF165_meth,3.6183766e-07
IDO1_meth,0.0012048385
ADAM28_meth,0.0028407658
GLRA1_meth,0.098220006
CASP12_meth,-0.009177996
TBX4_meth,1.6334893e-09
KCNC2_meth,0.48363099
SOX17_meth,0.71629983
RELN_meth,0.07291901
SHD_meth,0.015001822
FGF12_meth,-0.10809037
BATF3_meth,7.314563e-10
ERBB4_meth,0.07184381
GPR12_meth,-2.3483793e-09
HAS1_meth,0.021506125
KDR_meth,0.07873138
GSTM1_meth,-0.0021774652
GRM5_meth,0.001954087
NEUROG1_meth,-0.0011248252
BDNF_meth,0.07839095
MSC_meth,6.6043038e-09
RIMS4_meth,2.9192388e-05
GPR26_meth,8.439627e-09
CASS4_meth,-1.375764e-08
PRKAA2_meth,0.010631355
BDH2_meth,0.010500522
CYP2A6_meth,0.0008952707
NUDT10_meth,5.5289816e-05
KLF6_meth,-1.0003034e-16
HAND1_meth,0.062505275
TACR1_meth,0.0074984636
SIX2_meth,-0.13304122
COL5A3_meth,-4.8893067e-09
NR2F2_meth,-2.3642286e-09
SLC38A4_meth,-7.342315e-06
GALR3_meth,4.6366883e-10
SLC18A3_meth,2.5924411e-08
KCNB2_meth,-0.015317414
MSX1_meth,0.11653153
GFRA1_meth,0.0018963388
NOS1_meth,-0.033348467
SYT1_meth,0.19720823
CR1_meth,0.0077968016
SLC4A10_meth,0.028674446
GRID2_meth,0.0040318924
FBLN1_meth,-0.087187454
IRF4_meth,0.020883279
COL19A1_meth,1.12149914e-10
KCNC3_meth,-0.009923628
KLK4_meth,-0.029444596
SLC7A10_meth,2.7101215e-08
OSR2_meth,6.9250644e-05
CLDN4_meth,-0.16256703
KCNE3_meth,-0.0069543994
IER3_meth,-0.0027536042
SFRP2_meth,0.17068754
SHOX2_meth,0.003148385
SP9_meth,9.5647536e-08
PYDC1_meth,-0.002127043
MAP7D3_meth,1.0966473e-08
PAX2_meth,0.09935602
VGF_meth,0.1631789
TRPM4_meth,0.0039896257
FGF19_meth,0.2684577
BOLA2_meth,0.00014821104
CHAD_meth,0.07738384
SLPI_meth,-0.015089433
NPPC_meth,-0.070608
IER5_meth,0.010638947
GPR143_meth,9.021246e-09
MEOX2_meth,1.7993861e-09
PCDH18_meth,-2.6455268e-07
TBX3_meth,-0.048312306
CTSH_meth,0.0027157755
TNFRSF10A_meth,4.9587595e-10
SPPL2C_meth,-3.183451e-06
NPY_meth,-0.51851887
FSHB_meth,-0.80936354
A1CF_meth,0.0066953716
PEX5L_meth,-1.3374858e-05
SNCA_meth,-0.26102102
ST8SIA1_meth,-0.006098004
HOXA1_meth,-0.0001980932
GPR87_meth,1.20272825e-05
SCN3A_meth,0.039622553
TAC1_meth,0.07585166
HMGCLL1_meth,-0.00025088934
RTP4_meth,-0.008080203
IL1RAPL1_meth,1.500076e-07
PAH_meth,-0.0005828647
SLITRK1_meth,-1.6394239e-07
MUC5AC_meth,1.2499003e-09
ANKK1_meth,-0.025726663
ZPBP2_meth,-1.3812313e-05
CXCL14_meth,-3.1103207e-06
MMP9_meth,0.061766222
SLC5A8_meth,1.0738838e-05
HYAL4_meth,6.329412e-05
RIPPLY2_meth,1.111874e-09
CHL1_meth,0.040124442
UNCX_meth,-2.8820255e-10
IKZF1_meth,-8.2865226e-10
